"fy_ef","org_id","org_name","voted_or_statutory","description","authorities","expenditures"
"FY 2011-12",194,"The Jacques-Cartier and Champlain Bridges Inc.",60,"Payments to Crown Corps",153887000.00,97329991.00
"FY 2011-12",199,"Library and Archives of Canada",50,"Operating/Program",102241090.00,98815438.00
"FY 2011-12",199,"Library and Archives of Canada",55,"Capital",10350000.00,643500.00
"FY 2011-12",199,"Library and Archives of Canada","S","Contributions to employee benefit plans",12471923.00,12471922.81
"FY 2011-12",199,"Library and Archives of Canada","S","Refunds of amounts credited to revenues in previous years",1903.00,1903.07
"FY 2011-12",199,"Library and Archives of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",308205.00,88599.00
"FY 2011-12",200,"Library of Parliament",10,"Operating/Program",37496080.00,36369707.00
"FY 2011-12",200,"Library of Parliament","S","Contributions to employee benefit plans",4937897.00,4937897.34
"FY 2011-12",202,"Marine Atlantic Inc.",35,"Payments to Crown Corps",202085000.00,183290595.00
"FY 2011-12",209,"Military Grievances External Review Committee",15,"Operating/Program",6840189.00,5727601.00
"FY 2011-12",209,"Military Grievances External Review Committee","S","Contributions to employee benefit plans",669410.00,669409.45
"FY 2011-12",210,"Military Police Complaints Commission",20,"Operating/Program",5779116.00,4666944.00
"FY 2011-12",210,"Military Police Complaints Commission","S","Contributions to employee benefit plans",255976.00,255976.00
"FY 2011-12",210,"Military Police Complaints Commission","S","Spending of proceeds from the disposal of surplus Crown assets",93.00,0.00
"FY 2011-12",217,"National Arts Centre Corporation",60,"Payments to Crown Corps",35781175.00,35781174.00
"FY 2011-12",218,"The National Battlefields Commission",65,"Operating/Program",7520729.00,7163406.00
"FY 2011-12",218,"The National Battlefields Commission","S","Contributions to employee benefit plans",525339.00,525339.29
"FY 2011-12",218,"The National Battlefields Commission","S","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",2115612.00,2115609.96
"FY 2011-12",219,"National Capital Commission",52,"Payments to Crown Corps",84351010.00,84289995.00
"FY 2011-12",219,"National Capital Commission",54,"Payments to Crown Corps",31386000.00,23196101.00
"FY 2011-12",221,"Canadian Energy Regulator",25,"Operating/Program",60678254.00,57099363.00
"FY 2011-12",221,"Canadian Energy Regulator","S","Contributions to employee benefit plans",7276250.00,7276250.20
"FY 2011-12",221,"Canadian Energy Regulator","S","Spending of proceeds from the disposal of surplus Crown assets",52.00,0.00
"FY 2011-12",223,"National Film Board",70,"Operating/Program",68786074.00,66904057.00
"FY 2011-12",223,"National Film Board","S","National Film Board Revolving Fund",6303761.00,-51478.97
"FY 2011-12",224,"National Gallery of Canada",75,"Payments to Crown Corps",41666146.00,41586146.00
"FY 2011-12",224,"National Gallery of Canada",80,"Payments to Crown Corps",8000000.00,8000000.00
"FY 2011-12",226,"National Museum of Science and Technology",85,"Payments to Crown Corps",30304286.00,30304286.00
"FY 2011-12",227,"Parole Board of Canada",35,"Operating/Program",50775726.00,45895829.00
"FY 2011-12",227,"Parole Board of Canada","S","Contributions to employee benefit plans",6276273.00,6276272.71
"FY 2011-12",227,"Parole Board of Canada","S","Refunds of amounts credited to revenues in previous years",650.00,650.00
"FY 2011-12",227,"Parole Board of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",67139.00,15680.16
"FY 2011-12",228,"National Research Council of Canada",60,"Operating/Program",405687149.00,404197392.00
"FY 2011-12",228,"National Research Council of Canada",65,"Capital",42265908.00,35323689.00
"FY 2011-12",228,"National Research Council of Canada",70,"Grants & Contributions",165275481.00,148000687.00
"FY 2011-12",228,"National Research Council of Canada","S","Collection Agency Fees",17810.00,17810.43
"FY 2011-12",228,"National Research Council of Canada","S","Contributions to employee benefit plans",59766138.00,59766137.80
"FY 2011-12",228,"National Research Council of Canada","S","Losses on Foreign Exchange",3442.00,3442.45
"FY 2011-12",228,"National Research Council of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",963601.00,602557.88
"FY 2011-12",228,"National Research Council of Canada","S","Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act",146959101.00,50591865.75
"FY 2011-12",229,"National Round Table on the Environment and the Economy",20,"Operating/Program",5218383.00,4914463.00
"FY 2011-12",229,"National Round Table on the Environment and the Economy","S","Contributions to employee benefit plans",449334.00,449334.34
"FY 2011-12",229,"National Round Table on the Environment and the Economy","S","Spending of proceeds from the disposal of surplus Crown assets",25.00,0.00
"FY 2011-12",230,"Natural Sciences and Engineering Research Council",75,"Operating/Program",46894375.00,44302983.00
"FY 2011-12",230,"Natural Sciences and Engineering Research Council",80,"Grants & Contributions",1037114018.00,1036165486.00
"FY 2011-12",230,"Natural Sciences and Engineering Research Council","S","Collection Agency Fees",1136.00,1135.60
"FY 2011-12",230,"Natural Sciences and Engineering Research Council","S","Contributions to employee benefit plans",5267987.00,5267986.97
"FY 2011-12",230,"Natural Sciences and Engineering Research Council","S","Spending of proceeds from the disposal of surplus Crown assets",1751.00,0.00
"FY 2011-12",235,"Northern Pipeline Agency",30,"Operating/Program",2963150.00,1995695.00
"FY 2011-12",235,"Northern Pipeline Agency","S","Contributions to employee benefit plans",111918.00,111918.06
"FY 2011-12",237,"Department of Housing, Infrastructure and Communities",50,"Operating/Program",63379694.00,58587522.00
"FY 2011-12",237,"Department of Housing, Infrastructure and Communities",55,"Grants & Contributions",5956580886.00,4197098781.00
"FY 2011-12",237,"Department of Housing, Infrastructure and Communities","S","Contributions to employee benefit plans",5107996.00,5107996.05
"FY 2011-12",237,"Department of Housing, Infrastructure and Communities","S","Green Infrastructure Fund",29766472.00,29766472.15
"FY 2011-12",237,"Department of Housing, Infrastructure and Communities","S","Infrastructure Stimulus Fund",92041502.00,92041502.00
"FY 2011-12",237,"Department of Housing, Infrastructure and Communities","S","Provincial-Territorial Infrastructure Base Funding Program",157508000.00,157508000.00
"FY 2011-12",237,"Department of Housing, Infrastructure and Communities","S","Spending of proceeds from the disposal of surplus Crown assets",208.00,0.00
"FY 2011-12",238,"Office of the Auditor General",20,"Operating/Program",84590315.00,79266383.00
"FY 2011-12",238,"Office of the Auditor General","S","Contributions to employee benefit plans",10543651.00,10543651.37
"FY 2011-12",238,"Office of the Auditor General","S","Spending of proceeds from the disposal of surplus Crown assets",1886.00,1885.99
"FY 2011-12",239,"Office of the Chief Electoral Officer",15,"Operating/Program",33620530.00,30834398.00
"FY 2011-12",239,"Office of the Chief Electoral Officer","S","Collection Agency Fees",426.00,426.33
"FY 2011-12",239,"Office of the Chief Electoral Officer","S","Contributions to employee benefit plans",7530465.00,7530464.90
"FY 2011-12",239,"Office of the Chief Electoral Officer","S","Electoral expenditures",310650093.00,310650093.00
"FY 2011-12",239,"Office of the Chief Electoral Officer","S","Salary of the Chief Electoral Officer",335439.00,335438.54
"FY 2011-12",239,"Office of the Chief Electoral Officer","S","Spending of proceeds from the disposal of surplus Crown assets",1175.00,1174.33
"FY 2011-12",240,"Office of the Commissioner for Federal Judicial Affairs",20,"Operating/Program",9346666.00,8713683.00
"FY 2011-12",240,"Office of the Commissioner for Federal Judicial Affairs",25,"Operating/Program",1754600.00,1722471.00
"FY 2011-12",240,"Office of the Commissioner for Federal Judicial Affairs","S","Contributions to employee benefit plans",944262.00,944262.22
"FY 2011-12",240,"Office of the Commissioner for Federal Judicial Affairs","S","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",459802737.00,459802737.30
"FY 2011-12",240,"Office of the Commissioner for Federal Judicial Affairs","S","Spending of proceeds from the disposal of surplus Crown assets",452.00,0.00
"FY 2011-12",241,"Office of the Commissioner of Lobbying",45,"Operating/Program",4684418.00,4463147.00
"FY 2011-12",241,"Office of the Commissioner of Lobbying","S","Contributions to employee benefit plans",398443.00,398442.56
"FY 2011-12",242,"Office of the Commissioner of Official Languages",20,"Operating/Program",21042044.00,20081180.00
"FY 2011-12",242,"Office of the Commissioner of Official Languages","S","Contributions to employee benefit plans",2272164.00,2272164.12
"FY 2011-12",242,"Office of the Commissioner of Official Languages","S","Spending of proceeds from the disposal of surplus Crown assets",1692.00,1691.53
"FY 2011-12",244,"Office of the Intelligence Commissioner",25,"Operating/Program",2214302.00,1793304.00
"FY 2011-12",244,"Office of the Intelligence Commissioner","S","Contributions to employee benefit plans",149124.00,149124.10
"FY 2011-12",245,"Office of the Conflict of Interest and Ethics Commissioner",15,"Operating/Program",6338000.00,5893494.00
"FY 2011-12",245,"Office of the Conflict of Interest and Ethics Commissioner","S","Contributions to employee benefit plans",744367.00,744367.34
"FY 2011-12",246,"Department for Women and Gender Equality",26,"Operating/Program",10594731.00,9933836.00
"FY 2011-12",246,"Department for Women and Gender Equality",28,"Grants & Contributions",18950001.00,18285051.00
"FY 2011-12",246,"Department for Women and Gender Equality","S","Contributions to employee benefit plans",1215939.00,1215938.56
"FY 2011-12",246,"Department for Women and Gender Equality","S","Spending of proceeds from the disposal of surplus Crown assets",268.00,0.00
"FY 2011-12",247,"Office of the Correctional Investigator of Canada",40,"Operating/Program",4474298.00,4399240.00
"FY 2011-12",247,"Office of the Correctional Investigator of Canada","S","Contributions to employee benefit plans",537427.00,537426.97
"FY 2011-12",248,"Office of the Director of Public Prosecutions",35,"Operating/Program",171650860.00,141477954.00
"FY 2011-12",248,"Office of the Director of Public Prosecutions","S","Contributions to employee benefit plans",14965696.00,14965695.91
"FY 2011-12",249,"Office of the Governor General's Secretary",1,"Operating/Program",19786196.00,18898965.00
"FY 2011-12",249,"Office of the Governor General's Secretary","S","Annuities payable under the Governor General's Act",523069.00,523069.23
"FY 2011-12",249,"Office of the Governor General's Secretary","S","Contributions to employee benefit plans",2171136.00,2171136.46
"FY 2011-12",249,"Office of the Governor General's Secretary","S","Salary of the Governor General",134221.00,134220.43
"FY 2011-12",249,"Office of the Governor General's Secretary","S","Spending of proceeds from the disposal of surplus Crown assets",11805.00,0.00
"FY 2011-12",250,"Office of the Public Sector Integrity Commissioner",50,"Operating/Program",6904617.00,5192767.00
"FY 2011-12",250,"Office of the Public Sector Integrity Commissioner","S","Contributions to employee benefit plans",473096.00,473096.41
"FY 2011-12",251,"Office of the Senate Ethics Officer",20,"Operating/Program",719500.00,709569.00
"FY 2011-12",251,"Office of the Senate Ethics Officer","S","Contributions to employee benefit plans",89873.00,89872.58
"FY 2011-12",253,"Office of the Superintendent of Financial Institutions",35,"Operating/Program",910226.00,910226.00
"FY 2011-12",253,"Office of the Superintendent of Financial Institutions","S","Spending of proceeds from the disposal of surplus Crown assets",2656.00,2654.61
"FY 2011-12",253,"Office of the Superintendent of Financial Institutions","S","Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act",67115918.00,-13517692.35
"FY 2011-12",256,"Offices of the Information and Privacy Commissioners of Canada",40,"Operating/Program",11930589.00,11376683.00
"FY 2011-12",256,"Offices of the Information and Privacy Commissioners of Canada",45,"Operating/Program",24530287.00,23795371.00
"FY 2011-12",256,"Offices of the Information and Privacy Commissioners of Canada","S","Contributions to employee benefit plans",3618642.00,3618642.00
"FY 2011-12",256,"Offices of the Information and Privacy Commissioners of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",682.00,0.00
"FY 2011-12",257,"Old Port of Montreal Corporation Inc.",13,"Payments to Crown Corps",30373001.00,30373000.00
"FY 2011-12",263,"Parks Canada Agency",25,"Operating/Program",603446570.00,504032705.00
"FY 2011-12",263,"Parks Canada Agency",30,"Other",500000.00,500000.00
"FY 2011-12",263,"Parks Canada Agency","S","Contributions to employee benefit plans",55306993.00,55306993.06
"FY 2011-12",263,"Parks Canada Agency","S","Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act",118172207.00,118172206.90
"FY 2011-12",266,"Patented Medicine Prices Review Board",35,"Operating/Program",11735590.00,8241046.00
"FY 2011-12",266,"Patented Medicine Prices Review Board","S","Contributions to employee benefit plans",953535.00,953534.84
"FY 2011-12",266,"Patented Medicine Prices Review Board","S","Court Awards",46870.00,46870.50
"FY 2011-12",266,"Patented Medicine Prices Review Board","S","Refunds of amounts credited to revenues in previous years",2512878.00,2512877.74
"FY 2011-12",266,"Patented Medicine Prices Review Board","S","Spending of proceeds from the disposal of surplus Crown assets",46.00,45.81
"FY 2011-12",272,"PPP Canada Inc.",40,"Payments to Crown Corps",12700000.00,12700000.00
"FY 2011-12",272,"PPP Canada Inc.",45,"Payments to Crown Corps",275000000.00,275000000.00
"FY 2011-12",278,"Privy Council Office",1,"Operating/Program",150694375.00,138212059.00
"FY 2011-12",278,"Privy Council Office","S","Contributions to employee benefit plans",16758066.00,16758065.83
"FY 2011-12",278,"Privy Council Office","S","Salary and Motor Car Allowance",396385.00,396385.00
"FY 2011-12",278,"Privy Council Office","S","Spending of proceeds from the disposal of surplus Crown assets",111933.00,63303.00
"FY 2011-12",279,"Public Appointments Commission Secretariat",30,"Operating/Program",992250.00,119473.00
"FY 2011-12",279,"Public Appointments Commission Secretariat","S","Contributions to employee benefit plans",15607.00,15607.02
"FY 2011-12",280,"Public Health Agency of Canada",40,"Operating/Program",431838404.00,379391177.00
"FY 2011-12",280,"Public Health Agency of Canada",45,"Capital",28372624.00,27234343.00
"FY 2011-12",280,"Public Health Agency of Canada",50,"Grants & Contributions",196985563.00,193291760.00
"FY 2011-12",280,"Public Health Agency of Canada","S","Contributions to employee benefit plans",36522571.00,36522570.91
"FY 2011-12",280,"Public Health Agency of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",77242.00,59686.32
"FY 2011-12",282,"Public Service Commission",100,"Operating/Program",97565064.00,92308370.00
"FY 2011-12",282,"Public Service Commission","S","Contributions to employee benefit plans",13276147.00,13276146.95
"FY 2011-12",282,"Public Service Commission","S","Refunds of amounts credited to revenues in previous years",19834.00,19833.86
"FY 2011-12",282,"Public Service Commission","S","Spending of proceeds from the disposal of surplus Crown assets",1532.00,1532.20
"FY 2011-12",284,"Public Service Labour Relations Board",105,"Operating/Program",14026811.00,12140002.00
"FY 2011-12",284,"Public Service Labour Relations Board","S","Contributions to employee benefit plans",1306699.00,1306699.17
"FY 2011-12",285,"Public Service Staffing Tribunal",110,"Operating/Program",5438979.00,4387381.00
"FY 2011-12",285,"Public Service Staffing Tribunal","S","Contributions to employee benefit plans",548695.00,548695.02
"FY 2011-12",288,"Registrar of the Supreme Court of Canada",50,"Operating/Program",24330899.00,23023637.00
"FY 2011-12",288,"Registrar of the Supreme Court of Canada","S","Contributions to employee benefit plans",2707204.00,2707203.98
"FY 2011-12",288,"Registrar of the Supreme Court of Canada","S","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",5724347.00,5724347.45
"FY 2011-12",288,"Registrar of the Supreme Court of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",8002.00,0.00
"FY 2011-12",289,"Registry of the Competition Tribunal",85,"Operating/Program",2387460.00,1459253.00
"FY 2011-12",289,"Registry of the Competition Tribunal","S","Contributions to employee benefit plans",129443.00,129443.26
"FY 2011-12",289,"Registry of the Competition Tribunal","S","Spending of proceeds from the disposal of surplus Crown assets",493.00,0.00
"FY 2011-12",290,"Registry of the Public Servants Disclosure Protection Tribunal",115,"Operating/Program",1827258.00,1559962.00
"FY 2011-12",290,"Registry of the Public Servants Disclosure Protection Tribunal","S","Contributions to employee benefit plans",126641.00,126641.51
"FY 2011-12",291,"Registry of the Specific Claims Tribunal",50,"Operating/Program",2780627.00,2317774.00
"FY 2011-12",291,"Registry of the Specific Claims Tribunal","S","Contributions to employee benefit plans",116502.00,116501.68
"FY 2011-12",291,"Registry of the Specific Claims Tribunal","S","Spending of proceeds from the disposal of surplus Crown assets",114.00,0.00
"FY 2011-12",295,"Royal Canadian Mounted Police",45,"Operating/Program",2236610650.00,2119252589.00
"FY 2011-12",295,"Royal Canadian Mounted Police",50,"Capital",346197021.00,275948698.00
"FY 2011-12",295,"Royal Canadian Mounted Police",55,"Grants & Contributions",128436789.00,122798710.00
"FY 2011-12",295,"Royal Canadian Mounted Police","S","Contributions to employee benefit plans",81437633.00,81437633.06
"FY 2011-12",295,"Royal Canadian Mounted Police","S","Court Awards",122054.00,122053.89
"FY 2011-12",295,"Royal Canadian Mounted Police","S","Pensions and other employee benefits - Members of the Force",352513931.00,352513930.80
"FY 2011-12",295,"Royal Canadian Mounted Police","S","Pensions under the Royal Canadian Mounted Police Pension Continuation Act",15173970.00,15173970.21
"FY 2011-12",295,"Royal Canadian Mounted Police","S","Refunds of amounts credited to revenues in previous years",122077.00,122076.52
"FY 2011-12",295,"Royal Canadian Mounted Police","S","Spending of proceeds from the disposal of surplus Crown assets",12792868.00,7206148.94
"FY 2011-12",296,"Royal Canadian Mounted Police External Review Committee",60,"Operating/Program",1852330.00,1510318.00
"FY 2011-12",296,"Royal Canadian Mounted Police External Review Committee","S","Contributions to employee benefit plans",181574.00,181574.03
"FY 2011-12",297,"Civilian Review and Complaints Commission for the Royal Canadian Mounted Police",65,"Operating/Program",8094978.00,7291687.00
"FY 2011-12",297,"Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","S","Contributions to employee benefit plans",589215.00,589215.00
"FY 2011-12",302,"National Security and Intelligence Review Agency Secretariat",35,"Operating/Program",3090159.00,2536074.00
"FY 2011-12",302,"National Security and Intelligence Review Agency Secretariat","S","Contributions to employee benefit plans",297480.00,297480.10
"FY 2011-12",303,"Senate",1,"Operating/Program",59490350.00,56793395.00
"FY 2011-12",303,"Senate","S","Contributions to employee benefit plans",6641354.00,6641354.06
"FY 2011-12",303,"Senate","S","Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",26544931.00,26544931.22
"FY 2011-12",305,"Shared Services Canada",17,"Operating/Program",585986653.00,530061391.00
"FY 2011-12",305,"Shared Services Canada",19,"Capital",59338097.00,54660910.00
"FY 2011-12",305,"Shared Services Canada",21,"Other",1.00,0.00
"FY 2011-12",305,"Shared Services Canada","S","Contributions to employee benefit plans",27970401.00,27970401.09
"FY 2011-12",305,"Shared Services Canada","S","Pensions and other employee benefits - Members of Royal Canadian Mounted Police",1243731.00,1243730.69
"FY 2011-12",305,"Shared Services Canada","S","Spending of proceeds from the disposal of surplus Crown assets",329.00,0.00
"FY 2011-12",305,"Shared Services Canada","S","Telecommunications and Informatics Common Services Revolving Fund",8407789.95,8407789.95
"FY 2011-12",306,"Social Sciences and Humanities Research Council",90,"Operating/Program",24980865.00,23936272.00
"FY 2011-12",306,"Social Sciences and Humanities Research Council",95,"Grants & Contributions",671107052.00,670999277.00
"FY 2011-12",306,"Social Sciences and Humanities Research Council","S","Collection Agency Fees",614.00,614.44
"FY 2011-12",306,"Social Sciences and Humanities Research Council","S","Contributions to employee benefit plans",2917498.00,2917497.70
"FY 2011-12",312,"Standards Council of Canada",100,"Payments to Crown Corps",8422240.00,8059060.00
"FY 2011-12",313,"Statistics Canada",105,"Operating/Program",709583632.00,657703834.00
"FY 2011-12",313,"Statistics Canada","S","Contributions to employee benefit plans",86351955.00,86351954.82
"FY 2011-12",313,"Statistics Canada","S","Spending of proceeds from the disposal of surplus Crown assets",56055.00,56055.07
"FY 2011-12",315,"Telefilm Canada",120,"Payments to Crown Corps",105667144.00,105667144.00
"FY 2011-12",324,"Transportation Appeal Tribunal of Canada",65,"Operating/Program",1730188.00,1730023.00
"FY 2011-12",324,"Transportation Appeal Tribunal of Canada","S","Contributions to employee benefit plans",126182.00,126181.77
"FY 2011-12",326,"Treasury Board Secretariat",1,"Operating/Program",299631271.00,279490244.00
"FY 2011-12",326,"Treasury Board Secretariat",10,"Treasury Board Central",8510893.00,0.00
"FY 2011-12",326,"Treasury Board Secretariat",20,"Treasury Board Central",2380408439.00,2186595248.00
"FY 2011-12",326,"Treasury Board Secretariat",25,"Treasury Board Central",8060710.00,0.00
"FY 2011-12",326,"Treasury Board Secretariat",30,"Treasury Board Central",361781109.00,0.00
"FY 2011-12",326,"Treasury Board Secretariat",33,"Treasury Board Central",241898646.00,0.00
"FY 2011-12",326,"Treasury Board Secretariat",5,"Treasury Board Central",750000000.00,0.00
"FY 2011-12",326,"Treasury Board Secretariat","S","Contributions to employee benefit plans",32071416.00,32071416.31
"FY 2011-12",326,"Treasury Board Secretariat","S","Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act",6200000.00,6200000.00
"FY 2011-12",326,"Treasury Board Secretariat","S","Payments for the Pay Equity Settlement",72162.00,72162.02
"FY 2011-12",326,"Treasury Board Secretariat","S","Payments under the Public Service Pension Adjustment Act",1552.00,1552.00
"FY 2011-12",326,"Treasury Board Secretariat","S","Salary and Motor Car Allowance",77555.00,77555.33
"FY 2011-12",326,"Treasury Board Secretariat","S","Spending of proceeds from the disposal of surplus Crown assets",24409.00,0.00
"FY 2011-12",333,"Veterans Review and Appeal Board",10,"Operating/Program",11231700.00,11060985.00
"FY 2011-12",333,"Veterans Review and Appeal Board","S","Contributions to employee benefit plans",1685313.00,1685313.46
"FY 2011-12",334,"VIA Rail Canada Inc.",70,"Payments to Crown Corps",556309000.00,493795244.00
"FY 2011-12",552,"Canadian High Arctic Research Station",35,"Operating/Program",1191634.00,1141951.00
"FY 2011-12",552,"Canadian High Arctic Research Station","S","Contributions to employee benefit plans",121259.00,121258.52
"FY 2012-13",1,"Department of Agriculture and Agri-Food",1,"Operating/Program",737219100.00,669912504.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food",10,"Grants & Contributions",632128947.00,512905333.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food",5,"Capital",34881956.00,27722021.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Canadian Cattlemen's Association Legacy Fund",500000.00,500000.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Canadian Pari-Mutuel Agency Revolving Fund",4125793.00,-1240186.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Class grant payments for the Farm Income program",-15213.00,-15213.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Class grant payments for the Transitional Industry Support program",-47902.00,-47902.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Contribution Payments for the Grain and Oilseed Payment Program",-14751.00,-14751.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Contribution payments for the AgriInsurance program",677986995.00,677986995.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Contribution payments for the Agricultural Disaster Relief program and AgriRecovery",13736085.00,13736085.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative",-1255802.00,-1255802.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management",-4771735.00,-4771735.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Contributions to employee benefit plans",80857224.00,80857224.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Grant and Contribution Payments for the AgriInvest Program",220841083.00,220841083.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Grant and Contribution Payments for the AgriStability Program",418625183.00,418625183.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Grant payments for the AgriInvest Kickstart program",-126796.00,-126796.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative",-558164.00,-558164.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Grants in support of the Cost of Production Benefit",-53570.00,-53570.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Grants in support of the Grain and Oilseed Payment program",-20871.00,-20871.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Grants to agencies established under the Farm Products Agencies Act",600000.00,0.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Loan guarantees under the Canadian Agricultural Loans Act",204107.00,204107.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",62606580.00,62606580.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Payments in connection with the Farm Income Protection Act - Province-Based Programs",-8500.00,-8500.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Refunds of amounts credited to revenues in previous years",46309.00,46309.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Salary and Motor Car Allowance",77516.00,77516.00
"FY 2012-13",1,"Department of Agriculture and Agri-Food","S","Spending of proceeds from the disposal of surplus Crown assets",6592253.00,3651625.00
"FY 2012-13",2,"House of Commons",5,"Operating/Program",307991350.00,287012457.00
"FY 2012-13",2,"House of Commons","S","Contributions to employee benefit plans",34910301.00,34910301.00
"FY 2012-13",2,"House of Commons","S","Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account",108014213.00,108014213.00
"FY 2012-13",10,"Assisted Human Reproduction Agency of Canada",15,"Operating/Program",9249678.00,1358235.00
"FY 2012-13",10,"Assisted Human Reproduction Agency of Canada","S","Contributions to employee benefit plans",125307.00,125307.00
"FY 2012-13",12,"Atlantic Canada Opportunities Agency",1,"Operating/Program",82386685.00,72981202.00
"FY 2012-13",12,"Atlantic Canada Opportunities Agency",5,"Grants & Contributions",241592300.00,233185297.00
"FY 2012-13",12,"Atlantic Canada Opportunities Agency","S","Contributions to employee benefit plans",9470228.00,9470228.00
"FY 2012-13",12,"Atlantic Canada Opportunities Agency","S","Refunds of amounts credited to revenues in previous years",84.00,84.00
"FY 2012-13",12,"Atlantic Canada Opportunities Agency","S","Salary and Motor Car Allowance",2000.00,2000.00
"FY 2012-13",12,"Atlantic Canada Opportunities Agency","S","Spending of proceeds from the disposal of surplus Crown assets",42992.00,23136.00
"FY 2012-13",14,"Atomic Energy of Canada Limited",15,"Payments to Crown Corps",345308000.00,341243000.00
"FY 2012-13",14,"Atomic Energy of Canada Limited","S","Payments to Atomic Energy of Canada Limited",210600000.00,210600000.00
"FY 2012-13",26,"Canada Border Services Agency",10,"Operating/Program",1702510550.00,1440742689.00
"FY 2012-13",26,"Canada Border Services Agency",15,"Capital",197232134.00,78903178.00
"FY 2012-13",26,"Canada Border Services Agency","S","Contributions to employee benefit plans",187150914.00,187150914.00
"FY 2012-13",26,"Canada Border Services Agency","S","Court Awards",1750.00,1750.00
"FY 2012-13",26,"Canada Border Services Agency","S","Refunds of amounts credited to revenues in previous years",188612.00,188612.00
"FY 2012-13",26,"Canada Border Services Agency","S","Spending of proceeds from the disposal of surplus Crown assets",538541.00,368865.00
"FY 2012-13",29,"Canada Council for the Arts",10,"Payments to Crown Corps",181367817.00,181367816.00
"FY 2012-13",39,"Canada Industrial Relations Board",10,"Operating/Program",12233687.00,11335040.00
"FY 2012-13",39,"Canada Industrial Relations Board","S","Contributions to employee benefit plans",1451076.00,1451076.00
"FY 2012-13",39,"Canada Industrial Relations Board","S","Spending of proceeds from the disposal of surplus Crown assets",28.00,0.00
"FY 2012-13",42,"Canada Mortgage and Housing Corporation",15,"Payments to Crown Corps",2139812000.00,2086397954.00
"FY 2012-13",44,"Canada Post Corporation",15,"Payments to Crown Corps",22210000.00,22210000.00
"FY 2012-13",46,"Canada Revenue Agency",1,"Operating/Program",3582680658.00,3265374223.00
"FY 2012-13",46,"Canada Revenue Agency",5,"Capital",83432650.00,45812715.00
"FY 2012-13",46,"Canada Revenue Agency","S","Children's special allowance payments",238006700.00,238006700.00
"FY 2012-13",46,"Canada Revenue Agency","S","Contributions to employee benefit plans",463603539.00,463603539.00
"FY 2012-13",46,"Canada Revenue Agency","S","Court Awards",51620.00,51620.00
