fy_ef,org_id,org_name,voted_or_statutory,description,authorities,expenditures
FY 2012-13,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development,1545570,1545570
FY 2012-13,129,Department of Crown-Indigenous Relations and Northern Affairs,S,"Payment from the Consolidated Revenue Fund of guaranteed loans issued out of the Indian economic development account (authorized limit $60,000,000)",32490796,0
FY 2012-13,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Payments to comprehensive claim beneficiaries in compensation for resource royalties,4762025,4762025
FY 2012-13,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Refunds of amounts credited to revenues in previous years,1287943,1287943
FY 2012-13,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Salary and Motor Car Allowance,76003,76003
FY 2012-13,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Spending of proceeds from the disposal of surplus Crown assets,2288320,596555
FY 2012-13,130,Department of Industry,1,Operating/Program,438878197,411743681
FY 2012-13,130,Department of Industry,10,Grants & Contributions,794946571,704527513
FY 2012-13,130,Department of Industry,5,Capital,16902251,15198548
FY 2012-13,130,Department of Industry,S,Canadian Intellectual Property Office Revolving Fund,163139944,-10453981
FY 2012-13,130,Department of Industry,S,Canadian Youth Business Foundation,10000000,10000000
FY 2012-13,130,Department of Industry,S,Contributions to employee benefit plans,58436487,58436487
FY 2012-13,130,Department of Industry,S,Contributions under the Knowledge infrastructure program,49912858,49912858
FY 2012-13,130,Department of Industry,S,Grant and Contribution to Genome Canada,64000000,64000000
FY 2012-13,130,Department of Industry,S,Liabilities under the Canada Small Business Financing Act,52081540,52081540
FY 2012-13,130,Department of Industry,S,Liabilities under the Small Business Loans Act,99,99
FY 2012-13,130,Department of Industry,S,Refunds of amounts credited to revenues in previous years,1815692,1815692
FY 2012-13,130,Department of Industry,S,Salary and Motor Car Allowance,81516,81516
FY 2012-13,130,Department of Industry,S,Spending of proceeds from the disposal of surplus Crown assets,464069,238765
FY 2012-13,132,Department of Justice,1,Operating/Program,298836785,271365551
FY 2012-13,132,Department of Justice,5,Grants & Contributions,391677223,384330338
FY 2012-13,132,Department of Justice,S,Contributions to employee benefit plans,78093438,78093438
FY 2012-13,132,Department of Justice,S,Refunds of amounts credited to revenues in previous years,113238,113238
FY 2012-13,132,Department of Justice,S,Salary and Motor Car Allowance,77516,77516
FY 2012-13,132,Department of Justice,S,Spending of proceeds from the disposal of surplus Crown assets,4323,2767
FY 2012-13,133,Department of National Defence,1,Operating/Program,16123500161,15001660268
FY 2012-13,133,Department of National Defence,10,Grants & Contributions,215367761,177501812
FY 2012-13,133,Department of National Defence,5,Capital,3322187877,3059268913
FY 2012-13,133,Department of National Defence,S,Collection Agency Fees,4015,4015
FY 2012-13,133,Department of National Defence,S,Contributions to employee benefit plans,302099238,302099238
FY 2012-13,133,Department of National Defence,S,Contributions to employee benefit plans (Members of the Military),1405619169,1405619169
FY 2012-13,133,Department of National Defence,S,"Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",23030,23030
FY 2012-13,133,Department of National Defence,S,Payments under Parts I-IV of the Defence Services Pension Continuation Act,712813,712813
FY 2012-13,133,Department of National Defence,S,Payments under the Supplementary Retirement Benefits Act,3467313,3467313
FY 2012-13,133,Department of National Defence,S,Salary and Motor Car Allowance,105595,105595
FY 2012-13,133,Department of National Defence,S,Spending of proceeds from the disposal of surplus Crown assets,55396628,27727965
FY 2012-13,134,Department of Natural Resources,1,Operating/Program,860552388,765184744
FY 2012-13,134,Department of Natural Resources,10,Grants & Contributions,742018648,423456774
FY 2012-13,134,Department of Natural Resources,5,Capital,31957213,29045487
FY 2012-13,134,Department of Natural Resources,S,Collection Agency Fees,18714,18714
FY 2012-13,134,Department of Natural Resources,S,Contribution to the Canada/Newfoundland Offshore Petroleum Board,3346925,3346925
FY 2012-13,134,Department of Natural Resources,S,Contribution to the Canada/Nova Scotia Offshore Petroleum Board,2601684,2601684
FY 2012-13,134,Department of Natural Resources,S,Contributions to employee benefit plans,63505015,63505015
FY 2012-13,134,Department of Natural Resources,S,Geomatics Canada Revolving Fund,7109320,112207
FY 2012-13,134,Department of Natural Resources,S,Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources,57774592,57774592
FY 2012-13,134,Department of Natural Resources,S,Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,566121270,566121270
FY 2012-13,134,Department of Natural Resources,S,Payments to the Nova Scotia Offshore Revenue Account,55120298,55120298
FY 2012-13,134,Department of Natural Resources,S,Salary and Motor Car Allowance,77516,77516
FY 2012-13,134,Department of Natural Resources,S,Spending of proceeds from the disposal of surplus Crown assets,763337,445738
FY 2012-13,135,Department of Public Safety and Emergency Preparedness,1,Operating/Program,139311850,133660075
FY 2012-13,135,Department of Public Safety and Emergency Preparedness,5,Grants & Contributions,479440792,434902027
FY 2012-13,135,Department of Public Safety and Emergency Preparedness,S,Contributions to employee benefit plans,15634160,15634160
FY 2012-13,135,Department of Public Safety and Emergency Preparedness,S,Salary and Motor Car Allowance,77516,77516
FY 2012-13,136,Department of Public Works and Government Services,1,Operating/Program,2150827426,2080057661
FY 2012-13,136,Department of Public Works and Government Services,10,Grants & Contributions,5497037,5463823
FY 2012-13,136,Department of Public Works and Government Services,5,Capital,578401616,547914082
FY 2012-13,136,Department of Public Works and Government Services,6,Other,1,0
FY 2012-13,136,Department of Public Works and Government Services,S,Collection Agency Fees,816,816
FY 2012-13,136,Department of Public Works and Government Services,S,Contributions to employee benefit plans,108998910,108998910
FY 2012-13,136,Department of Public Works and Government Services,S,Defence Production Revolving Fund,100000000,0
FY 2012-13,136,Department of Public Works and Government Services,S,Optional Services Revolving Fund,38885284,3265799
FY 2012-13,136,Department of Public Works and Government Services,S,Payment in lieu of taxes to municipalities and other taxing authorities,-1034519,-1034519
FY 2012-13,136,Department of Public Works and Government Services,S,Real Property Disposition Revolving Fund,-10069187,-10069187
FY 2012-13,136,Department of Public Works and Government Services,S,Real Property Services Revolving Fund,187181103,-4665014
FY 2012-13,136,Department of Public Works and Government Services,S,Refunds of amounts credited to revenues in previous years,143304,143304
FY 2012-13,136,Department of Public Works and Government Services,S,Salary and Motor Car Allowance,77516,77516
FY 2012-13,136,Department of Public Works and Government Services,S,Spending of proceeds from the disposal of surplus Crown assets,623809,313433
FY 2012-13,136,Department of Public Works and Government Services,S,Translation Bureau Revolving Fund,34916595,7066633
FY 2012-13,137,Department of the Environment,1,Operating/Program,768509474,725061714
FY 2012-13,137,Department of the Environment,10,Grants & Contributions,171638255,103654358
FY 2012-13,137,Department of the Environment,5,Capital,60794612,46622606
FY 2012-13,137,Department of the Environment,S,Contributions to employee benefit plans,89492736,89492736
FY 2012-13,137,Department of the Environment,S,Nature Conservancy of Canada,24029852,24029852
FY 2012-13,137,Department of the Environment,S,Salary and Motor Car Allowance,77516,77516
FY 2012-13,137,Department of the Environment,S,Spending of proceeds from the disposal of surplus Crown assets,2217868,716680
FY 2012-13,138,Department of Transport,1,Operating/Program,618805104,525163050
FY 2012-13,138,Department of Transport,10,Grants & Contributions,1189132620,545162984
FY 2012-13,138,Department of Transport,5,Capital,106272716,58206527
FY 2012-13,138,Department of Transport,S,Contributions to employee benefit plans,71177863,71177863
FY 2012-13,138,Department of Transport,S,Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act,60529578,60529578
FY 2012-13,138,Department of Transport,S,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,69879328,69879328
FY 2012-13,138,Department of Transport,S,"Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",2279260,2279260
FY 2012-13,138,Department of Transport,S,Refunds of amounts credited to revenues in previous years,63,63
FY 2012-13,138,Department of Transport,S,Salary and Motor Car Allowance,79516,79516
FY 2012-13,138,Department of Transport,S,Spending of proceeds from the disposal of surplus Crown assets,3633839,0
FY 2012-13,139,Department of Veterans Affairs,1,Operating/Program,911939168,865590436
FY 2012-13,139,Department of Veterans Affairs,5,Grants & Contributions,2705510200,2578927410
FY 2012-13,139,Department of Veterans Affairs,S,Contributions to employee benefit plans,41436223,41436223
FY 2012-13,139,Department of Veterans Affairs,S,Court Awards,21184,21184
FY 2012-13,139,Department of Veterans Affairs,S,Losses on Foreign Exchange,1548,1548
FY 2012-13,139,Department of Veterans Affairs,S,Refunds of amounts credited to revenues in previous years,144679,144679
FY 2012-13,139,Department of Veterans Affairs,S,Returned Soldiers Insurance Actuarial Liability Adjustment,1925,1925
FY 2012-13,139,Department of Veterans Affairs,S,Salary and Motor Car Allowance,77516,77516
FY 2012-13,139,Department of Veterans Affairs,S,Spending of proceeds from the disposal of surplus Crown assets,26920,26920
FY 2012-13,140,Department of Western Economic Diversification,1,Operating/Program,47430024,42550526
FY 2012-13,140,Department of Western Economic Diversification,5,Grants & Contributions,142147747,130983719
FY 2012-13,140,Department of Western Economic Diversification,S,Community Adjustment Fund,4500000,4500000
FY 2012-13,140,Department of Western Economic Diversification,S,Contributions to employee benefit plans,5666405,5666405
FY 2012-13,140,Department of Western Economic Diversification,S,Salary and Motor Car Allowance,2000,2000
FY 2012-13,140,Department of Western Economic Diversification,S,Spending of proceeds from the disposal of surplus Crown assets,15833,15833
FY 2012-13,141,Economic Development Agency of Canada for the Regions of Quebec,1,Operating/Program,47187950,43194294
FY 2012-13,141,Economic Development Agency of Canada for the Regions of Quebec,5,Grants & Contributions,261637542,247508999
FY 2012-13,141,Economic Development Agency of Canada for the Regions of Quebec,S,Contributions to employee benefit plans,5726053,5726053
FY 2012-13,141,Economic Development Agency of Canada for the Regions of Quebec,S,Spending of proceeds from the disposal of surplus Crown assets,28051,0
FY 2012-13,143,Enterprise Cape Breton Corporation,10,Payments to Crown Corps,60667000,60667000
FY 2012-13,146,Export Development Canada (Canada Account),S,Forgiveness of non-budgetary loans pursuant to section 23(6) of the Export Development Act,231192530,231192530
FY 2012-13,148,The Federal Bridge Corporation Limited,30,Payments to Crown Corps,26224693,18185400
FY 2012-13,150,Federal Economic Development Agency for Southern Ontario,50,Operating/Program,27824934,26645913
FY 2012-13,150,Federal Economic Development Agency for Southern Ontario,55,Grants & Contributions,231947760,212041526
FY 2012-13,150,Federal Economic Development Agency for Southern Ontario,S,Contributions to employee benefit plans,3033528,3033528
FY 2012-13,150,Federal Economic Development Agency for Southern Ontario,S,Spending of proceeds from the disposal of surplus Crown assets,3193,0
FY 2012-13,151,Financial Consumer Agency of Canada,S,Payments under section 13 of the Financial Consumer Agency of Canada Act,12890555,12890555
FY 2012-13,152,Financial Transactions and Reports Analysis Centre of Canada,30,Operating/Program,51072583,48879599
FY 2012-13,152,Financial Transactions and Reports Analysis Centre of Canada,S,Contributions to employee benefit plans,5113972,5113972
FY 2012-13,154,First Nations Statistical Institute,30,Payments to Crown Corps,5000000,2028410
FY 2012-13,170,Hazardous Materials Information Review Commission,40,Operating/Program,4462748,4326309
FY 2012-13,170,Hazardous Materials Information Review Commission,S,Contributions to employee benefit plans,559062,559062
FY 2012-13,174,Immigration and Refugee Board,10,Operating/Program,138490373,120389926
FY 2012-13,174,Immigration and Refugee Board,S,Contributions to employee benefit plans,13866488,13866488
FY 2012-13,174,Immigration and Refugee Board,S,Spending of proceeds from the disposal of surplus Crown assets,2029,2029
FY 2012-13,177,Indian Residential Schools Truth and Reconciliation Commission,35,Operating/Program,14896848,11257205
FY 2012-13,177,Indian Residential Schools Truth and Reconciliation Commission,S,Contributions to employee benefit plans,561110,561110
FY 2012-13,186,International Development Research Centre,45,Payments to Crown Corps,241646094,156223043
FY 2012-13,189,International Joint Commission (Canadian Section),50,Operating/Program,6740732,6016714
FY 2012-13,189,International Joint Commission (Canadian Section),S,Contributions to employee benefit plans,490784,490784
FY 2012-13,194,The Jacques-Cartier and Champlain Bridges Inc.,50,Payments to Crown Corps,182933000,109054244
FY 2012-13,199,Library and Archives of Canada,55,Operating/Program,96728242,88269819
FY 2012-13,199,Library and Archives of Canada,60,Capital,19352500,18365712
FY 2012-13,199,Library and Archives of Canada,S,Contributions to employee benefit plans,12287701,12287701
FY 2012-13,199,Library and Archives of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,351493,0
FY 2012-13,200,Library of Parliament,10,Operating/Program,39331080,39330783
FY 2012-13,200,Library of Parliament,S,Contributions to employee benefit plans,5097168,5097168
FY 2012-13,202,Marine Atlantic Inc.,35,Payments to Crown Corps,185376000,184876000
FY 2012-13,209,Military Grievances External Review Committee,15,Operating/Program,6438397,5276211
FY 2012-13,209,Military Grievances External Review Committee,S,Contributions to employee benefit plans,574025,574025
FY 2012-13,210,Military Police Complaints Commission,25,Operating/Program,8514793,4995927
FY 2012-13,210,Military Police Complaints Commission,S,Contributions to employee benefit plans,305562,305562
FY 2012-13,210,Military Police Complaints Commission,S,Spending of proceeds from the disposal of surplus Crown assets,31,0
FY 2012-13,217,National Arts Centre Corporation,65,Payments to Crown Corps,35706175,35601174
FY 2012-13,218,The National Battlefields Commission,70,Operating/Program,7503774,7016448
FY 2012-13,218,The National Battlefields Commission,S,Contributions to employee benefit plans,523101,523101
FY 2012-13,218,The National Battlefields Commission,S,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,2083594,2083592
FY 2012-13,219,National Capital Commission,55,Payments to Crown Corps,82168872,81575872
FY 2012-13,219,National Capital Commission,60,Payments to Crown Corps,45290001,27258001
FY 2012-13,221,Canadian Energy Regulator,25,Operating/Program,66896544,61997295
FY 2012-13,221,Canadian Energy Regulator,S,Contributions to employee benefit plans,7548346,7548346
FY 2012-13,221,Canadian Energy Regulator,S,Spending of proceeds from the disposal of surplus Crown assets,104,0
FY 2012-13,223,National Film Board,75,Operating/Program,70434916,68163346
FY 2012-13,223,National Film Board,S,National Film Board Revolving Fund,6355240,588515
FY 2012-13,224,National Gallery of Canada,80,Payments to Crown Corps,40830762,40830762
FY 2012-13,224,National Gallery of Canada,85,Payments to Crown Corps,8000000,8000000
FY 2012-13,226,National Museum of Science and Technology,90,Payments to Crown Corps,31517305,31517304
FY 2012-13,227,Parole Board of Canada,35,Operating/Program,48837721,40181044
FY 2012-13,227,Parole Board of Canada,S,Contributions to employee benefit plans,6275755,6275755
FY 2012-13,227,Parole Board of Canada,S,Refunds of amounts credited to revenues in previous years,3533,3533
FY 2012-13,227,Parole Board of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,57735,51458
FY 2012-13,228,National Research Council of Canada,60,Operating/Program,411932718,406841780
FY 2012-13,228,National Research Council of Canada,65,Capital,42309221,42233042
FY 2012-13,228,National Research Council of Canada,70,Grants & Contributions,260465501,253239559
FY 2012-13,228,National Research Council of Canada,S,Collection Agency Fees,6331,6331
FY 2012-13,228,National Research Council of Canada,S,Contributions to employee benefit plans,56811984,56811984
FY 2012-13,228,National Research Council of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,534097,0
FY 2012-13,228,National Research Council of Canada,S,Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act,188037817,45672216
FY 2012-13,229,National Round Table on the Environment and the Economy,20,Operating/Program,5367599,4782245
FY 2012-13,229,National Round Table on the Environment and the Economy,S,Contributions to employee benefit plans,661153,661153
FY 2012-13,229,National Round Table on the Environment and the Economy,S,Spending of proceeds from the disposal of surplus Crown assets,4688,0
FY 2012-13,230,Natural Sciences and Engineering Research Council,75,Operating/Program,50423616,47849011
FY 2012-13,230,Natural Sciences and Engineering Research Council,80,Grants & Contributions,1024464859,1022729219
FY 2012-13,230,Natural Sciences and Engineering Research Council,S,Collection Agency Fees,762,762
FY 2012-13,230,Natural Sciences and Engineering Research Council,S,Contributions to employee benefit plans,5402280,5402280
FY 2012-13,230,Natural Sciences and Engineering Research Council,S,Spending of proceeds from the disposal of surplus Crown assets,2852,0
FY 2012-13,235,Northern Pipeline Agency,30,Operating/Program,3163150,1735889
FY 2012-13,235,Northern Pipeline Agency,S,Contributions to employee benefit plans,184253,184253
FY 2012-13,237,"Department of Housing, Infrastructure and Communities",40,Operating/Program,56098141,45621112
FY 2012-13,237,"Department of Housing, Infrastructure and Communities",45,Grants & Contributions,5153950932,3602817891
FY 2012-13,237,"Department of Housing, Infrastructure and Communities",S,Contributions to employee benefit plans,4799284,4799284
FY 2012-13,237,"Department of Housing, Infrastructure and Communities",S,Green Infrastructure Fund,99418105,99418105
FY 2012-13,237,"Department of Housing, Infrastructure and Communities",S,Spending of proceeds from the disposal of surplus Crown assets,83,0
FY 2012-13,238,Office of the Auditor General,20,Operating/Program,83730701,78095897
FY 2012-13,238,Office of the Auditor General,S,Contributions to employee benefit plans,10111430,10111430
FY 2012-13,238,Office of the Auditor General,S,Spending of proceeds from the disposal of surplus Crown assets,2445,2445
FY 2012-13,239,Office of the Chief Electoral Officer,15,Operating/Program,33385308,30303722
FY 2012-13,239,Office of the Chief Electoral Officer,S,Contributions to employee benefit plans,6480367,6480367
FY 2012-13,239,Office of the Chief Electoral Officer,S,Electoral expenditures,75897548,75897548
FY 2012-13,239,Office of the Chief Electoral Officer,S,Expenses under Electoral Boundary Readjustment Act,6596108,6596108
FY 2012-13,239,Office of the Chief Electoral Officer,S,Salary of the Chief Electoral Officer,291659,291659
FY 2012-13,239,Office of the Chief Electoral Officer,S,Spending of proceeds from the disposal of surplus Crown assets,10789,10789
FY 2012-13,240,Office of the Commissioner for Federal Judicial Affairs,20,Operating/Program,8942753,8523525
FY 2012-13,240,Office of the Commissioner for Federal Judicial Affairs,25,Operating/Program,1589923,1463552
FY 2012-13,240,Office of the Commissioner for Federal Judicial Affairs,S,Contributions to employee benefit plans,898303,898303
FY 2012-13,240,Office of the Commissioner for Federal Judicial Affairs,S,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",474217220,474217220
FY 2012-13,241,Office of the Commissioner of Lobbying,45,Operating/Program,4494261,4322227
FY 2012-13,241,Office of the Commissioner of Lobbying,S,Contributions to employee benefit plans,422901,422901
FY 2012-13,241,Office of the Commissioner of Lobbying,S,Spending of proceeds from the disposal of surplus Crown assets,186,186
FY 2012-13,242,Office of the Commissioner of Official Languages,20,Operating/Program,19858148,18826751
FY 2012-13,242,Office of the Commissioner of Official Languages,S,Contributions to employee benefit plans,2306864,2306864
FY 2012-13,242,Office of the Commissioner of Official Languages,S,Spending of proceeds from the disposal of surplus Crown assets,401,401
FY 2012-13,244,Office of the Intelligence Commissioner,30,Operating/Program,2391926,2154558
FY 2012-13,244,Office of the Intelligence Commissioner,S,Contributions to employee benefit plans,131161,131161
FY 2012-13,245,Office of the Conflict of Interest and Ethics Commissioner,15,Operating/Program,6338000,5698200
FY 2012-13,245,Office of the Conflict of Interest and Ethics Commissioner,S,Contributions to employee benefit plans,755249,755249
FY 2012-13,246,Department for Women and Gender Equality,30,Operating/Program,10310751,9578742
FY 2012-13,246,Department for Women and Gender Equality,35,Grants & Contributions,19033334,18887046
FY 2012-13,246,Department for Women and Gender Equality,S,Contributions to employee benefit plans,1262398,1262398
FY 2012-13,246,Department for Women and Gender Equality,S,Spending of proceeds from the disposal of surplus Crown assets,175,0
FY 2012-13,247,Office of the Correctional Investigator of Canada,40,Operating/Program,4298566,4073794
FY 2012-13,247,Office of the Correctional Investigator of Canada,S,Contributions to employee benefit plans,502592,502592
FY 2012-13,248,Office of the Director of Public Prosecutions,35,Operating/Program,167751430,148167371
FY 2012-13,248,Office of the Director of Public Prosecutions,S,Contributions to employee benefit plans,15199452,15199452
FY 2012-13,249,Office of the Governor General's Secretary,1,Operating/Program,18298987,17993226
FY 2012-13,249,Office of the Governor General's Secretary,S,Annuities payable under the Governor General's Act,536517,536517
FY 2012-13,249,Office of the Governor General's Secretary,S,Contributions to employee benefit plans,2110815,2110815
FY 2012-13,249,Office of the Governor General's Secretary,S,Salary of the Governor General,170776,170776
FY 2012-13,249,Office of the Governor General's Secretary,S,Spending of proceeds from the disposal of surplus Crown assets,29252,17557
FY 2012-13,250,Office of the Public Sector Integrity Commissioner,50,Operating/Program,5594208,5002357
FY 2012-13,250,Office of the Public Sector Integrity Commissioner,S,Contributions to employee benefit plans,540573,540573
FY 2012-13,250,Office of the Public Sector Integrity Commissioner,S,Spending of proceeds from the disposal of surplus Crown assets,66,66
FY 2012-13,251,Office of the Senate Ethics Officer,20,Operating/Program,701697,569694
FY 2012-13,251,Office of the Senate Ethics Officer,S,Contributions to employee benefit plans,79937,79937
FY 2012-13,253,Office of the Superintendent of Financial Institutions,35,Operating/Program,909369,909369
FY 2012-13,253,Office of the Superintendent of Financial Institutions,S,Spending of proceeds from the disposal of surplus Crown assets,2020,2019
FY 2012-13,253,Office of the Superintendent of Financial Institutions,S,Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act,80633611,-1224124
FY 2012-13,256,Offices of the Information and Privacy Commissioners of Canada,40,Operating/Program,11456173,10905185
FY 2012-13,256,Offices of the Information and Privacy Commissioners of Canada,45,Operating/Program,23869493,23036569
FY 2012-13,256,Offices of the Information and Privacy Commissioners of Canada,S,Contributions to employee benefit plans,3889782,3889782
FY 2012-13,256,Offices of the Information and Privacy Commissioners of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,517,0
FY 2012-13,257,Old Port of Montreal Corporation Inc.,15,Payments to Crown Corps,25173000,24472000
FY 2012-13,263,Parks Canada Agency,25,Operating/Program,607935988,456782300
FY 2012-13,263,Parks Canada Agency,30,Other,500000,500000
FY 2012-13,263,Parks Canada Agency,S,Contributions to employee benefit plans,55254477,55254477
FY 2012-13,263,Parks Canada Agency,S,Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act,118010814,118010814
FY 2012-13,266,Patented Medicine Prices Review Board,45,Operating/Program,11667975,7145775
FY 2012-13,266,Patented Medicine Prices Review Board,S,Contributions to employee benefit plans,911028,911028
FY 2012-13,272,PPP Canada Inc.,40,Payments to Crown Corps,12700000,12450000
FY 2012-13,272,PPP Canada Inc.,45,Payments to Crown Corps,275000000,275000000
FY 2012-13,278,Privy Council Office,1,Operating/Program,129513255,114953289
FY 2012-13,278,Privy Council Office,S,Contributions to employee benefit plans,14837802,14837802
FY 2012-13,278,Privy Council Office,S,Salary and Motor Car Allowance,392721,392721
FY 2012-13,278,Privy Council Office,S,Spending of proceeds from the disposal of surplus Crown assets,66121,48629
FY 2012-13,279,Public Appointments Commission Secretariat,25,Operating/Program,992250,0
FY 2012-13,280,Public Health Agency of Canada,50,Operating/Program,396085975,358770085
FY 2012-13,280,Public Health Agency of Canada,55,Capital,19501051,15456407
FY 2012-13,280,Public Health Agency of Canada,60,Grants & Contributions,204477515,201062716
FY 2012-13,280,Public Health Agency of Canada,S,Collection Agency Fees,50,50
FY 2012-13,280,Public Health Agency of Canada,S,Contributions to employee benefit plans,32848779,32848779
FY 2012-13,280,Public Health Agency of Canada,S,Refunds of amounts credited to revenues in previous years,567,567
FY 2012-13,280,Public Health Agency of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,39221,25792
FY 2012-13,280,Public Health Agency of Canada,S,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",11491833,11491833
FY 2012-13,282,Public Service Commission,95,Operating/Program,90326779,82974741
FY 2012-13,282,Public Service Commission,S,Contributions to employee benefit plans,12751447,12751447
FY 2012-13,282,Public Service Commission,S,Refunds of amounts credited to revenues in previous years,2770,2770
FY 2012-13,282,Public Service Commission,S,Spending of proceeds from the disposal of surplus Crown assets,1108,1108
FY 2012-13,284,Public Service Labour Relations Board,100,Operating/Program,13216189,12349921
FY 2012-13,284,Public Service Labour Relations Board,S,Contributions to employee benefit plans,1284279,1284279
FY 2012-13,284,Public Service Labour Relations Board,S,Spending of proceeds from the disposal of surplus Crown assets,140,140
FY 2012-13,285,Public Service Staffing Tribunal,105,Operating/Program,5260052,4543265
FY 2012-13,285,Public Service Staffing Tribunal,S,Contributions to employee benefit plans,565542,565542
FY 2012-13,288,Registrar of the Supreme Court of Canada,50,Operating/Program,23503770,22423452
FY 2012-13,288,Registrar of the Supreme Court of Canada,S,Contributions to employee benefit plans,2770378,2770378
FY 2012-13,288,Registrar of the Supreme Court of Canada,S,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",6025983,6025983
FY 2012-13,288,Registrar of the Supreme Court of Canada,S,Refunds of amounts credited to revenues in previous years,5,5
FY 2012-13,288,Registrar of the Supreme Court of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,1751,0
FY 2012-13,289,Registry of the Competition Tribunal,85,Operating/Program,2280697,1583752
FY 2012-13,289,Registry of the Competition Tribunal,S,Contributions to employee benefit plans,153060,153060
FY 2012-13,290,Registry of the Public Servants Disclosure Protection Tribunal,110,Operating/Program,1736449,1510899
FY 2012-13,290,Registry of the Public Servants Disclosure Protection Tribunal,S,Contributions to employee benefit plans,148842,148842
FY 2012-13,291,Registry of the Specific Claims Tribunal,40,Operating/Program,2782635,1995450
FY 2012-13,291,Registry of the Specific Claims Tribunal,S,Contributions to employee benefit plans,142163,142163
FY 2012-13,291,Registry of the Specific Claims Tribunal,S,Spending of proceeds from the disposal of surplus Crown assets,155,0
FY 2012-13,295,Royal Canadian Mounted Police,45,Operating/Program,2465405070,2243129029
FY 2012-13,295,Royal Canadian Mounted Police,50,Capital,341327184,232989445
FY 2012-13,295,Royal Canadian Mounted Police,55,Grants & Contributions,140453625,136002171
FY 2012-13,295,Royal Canadian Mounted Police,S,Contributions to employee benefit plans,76890000,76890000
FY 2012-13,295,Royal Canadian Mounted Police,S,Court Awards,561627,561627
FY 2012-13,295,Royal Canadian Mounted Police,S,Pensions and other employee benefits - Members of the Force,413208659,413208659
FY 2012-13,295,Royal Canadian Mounted Police,S,Pensions under the Royal Canadian Mounted Police Pension Continuation Act,13963873,13963873
FY 2012-13,295,Royal Canadian Mounted Police,S,Refunds of amounts credited to revenues in previous years,171183,171183
FY 2012-13,295,Royal Canadian Mounted Police,S,Spending of proceeds from the disposal of surplus Crown assets,11967001,7483372
FY 2012-13,296,Royal Canadian Mounted Police External Review Committee,60,Operating/Program,1617117,1451185
FY 2012-13,296,Royal Canadian Mounted Police External Review Committee,S,Contributions to employee benefit plans,144410,144410
FY 2012-13,297,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,65,Operating/Program,7962033,7183379
FY 2012-13,297,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,S,Contributions to employee benefit plans,827622,827622
FY 2012-13,302,National Security and Intelligence Review Agency Secretariat,30,Operating/Program,2815173,2635875
FY 2012-13,302,National Security and Intelligence Review Agency Secretariat,S,Contributions to employee benefit plans,265398,265398
FY 2012-13,302,National Security and Intelligence Review Agency Secretariat,S,Spending of proceeds from the disposal of surplus Crown assets,147,0
FY 2012-13,303,Senate,1,Operating/Program,57933343,55650087
FY 2012-13,303,Senate,S,Contributions to employee benefit plans,6908886,6908886
FY 2012-13,303,Senate,S,"Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",26322815,26322815
FY 2012-13,305,Shared Services Canada,20,Operating/Program,1370381389,1199081235
FY 2012-13,305,Shared Services Canada,25,Capital,101459178,101459044
FY 2012-13,305,Shared Services Canada,S,Contributions to employee benefit plans,75808691,75808691
FY 2012-13,305,Shared Services Canada,S,Pensions and other employee benefits - Members of Royal Canadian Mounted Police,4280868,4280868
FY 2012-13,305,Shared Services Canada,S,Refunds of amounts credited to revenues in previous years,519257,519257
