"fy_ef","organization","estimates_document","statutory_item","authorities"
"FY 2015-16","Department of Public Safety and Emergency Preparedness","Main Estimates","Contributions to employee benefit plans",14689319
"FY 2015-16","Department of Public Safety and Emergency Preparedness","Main Estimates","Salary and Motor Car Allowance",82100
"FY 2015-16","Department of Public Works and Government Services","Main Estimates","Contributions to employee benefit plans",116552819
"FY 2015-16","Department of Public Works and Government Services","Main Estimates","Real Property Services Revolving Fund",4800000
"FY 2015-16","Department of Public Works and Government Services","Main Estimates","Translation Bureau Revolving Fund",-27511
"FY 2015-16","Department of Public Works and Government Services","Main Estimates","Salary and Motor Car Allowance",82100
"FY 2015-16","Department of Transport","Main Estimates","Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000
"FY 2015-16","Department of Transport","Main Estimates","Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act",63789074
"FY 2015-16","Department of Transport","Main Estimates","Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act",135300000
"FY 2015-16","Department of Transport","Main Estimates","Contributions to employee benefit plans",71192269
"FY 2015-16","Department of Transport","Main Estimates","Salary and Motor Car Allowance",82100
"FY 2015-16","Department of Veterans Affairs","Main Estimates","Salary and Motor Car Allowance",82100
"FY 2015-16","Department of Veterans Affairs","Main Estimates","Returned Soldiers Insurance Actuarial Liability Adjustment",10000
"FY 2015-16","Department of Veterans Affairs","Main Estimates","Contributions to employee benefit plans",27048301
"FY 2015-16","Department of Veterans Affairs","Main Estimates","Re-establishment credits under section 8 of the War Service Grants Act",12000
"FY 2015-16","Department of Veterans Affairs","Main Estimates","Veterans Insurance Actuarial Liability Adjustment",175000
"FY 2015-16","Department of Western Economic Diversification","Main Estimates","Salary and Motor Car Allowance",2000
"FY 2015-16","Department of Western Economic Diversification","Main Estimates","Contributions to employee benefit plans",4183723
"FY 2015-16","Department of the Environment","Main Estimates","Salary and Motor Car Allowance",82100
"FY 2015-16","Department of the Environment","Main Estimates","Contributions to employee benefit plans",87599286
"FY 2015-16","Economic Development Agency of Canada for the Regions of Quebec","Main Estimates","Contributions to employee benefit plans",4819408
"FY 2015-16","Federal Economic Development Agency for Southern Ontario","Main Estimates","Contributions to employee benefit plans",3151140
"FY 2015-16","Federal Economic Development Agency for Southern Ontario","Main Estimates","Salary and Motor Car Allowance",2000
"FY 2015-16","Financial Transactions and Reports Analysis Centre of Canada","Main Estimates","Contributions to employee benefit plans",5495520
"FY 2015-16","House of Commons","Main Estimates","Contributions to employee benefit plans",35551337
"FY 2015-16","House of Commons","Main Estimates","Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account",117037711
"FY 2015-16","Immigration and Refugee Board","Main Estimates","Contributions to employee benefit plans",13166759
"FY 2015-16","Impact Assessment Agency of Canada","Main Estimates","Contributions to employee benefit plans",1760251
"FY 2015-16","Indian Residential Schools Truth and Reconciliation Commission","Main Estimates","Contributions to employee benefit plans",59401
"FY 2015-16","International Joint Commission (Canadian Section)","Main Estimates","Contributions to employee benefit plans",588969
"FY 2015-16","Library and Archives of Canada","Main Estimates","Contributions to employee benefit plans",9828389
"FY 2015-16","Library of Parliament","Main Estimates","Contributions to employee benefit plans",4985560
"FY 2015-16","Military Grievances External Review Committee","Main Estimates","Contributions to employee benefit plans",598307
"FY 2015-16","Military Police Complaints Commission","Main Estimates","Contributions to employee benefit plans",456606
"FY 2015-16","National Research Council of Canada","Main Estimates","Contributions to employee benefit plans",42205712
"FY 2015-16","National Research Council of Canada","Main Estimates","Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act",175000000
"FY 2015-16","National Security and Intelligence Review Agency Secretariat","Main Estimates","Contributions to employee benefit plans",317047
"FY 2015-16","Natural Sciences and Engineering Research Council","Main Estimates","Spending of Revenues pursuant to subsection 4.2 of the Natural Sciences and Engineering Research Council Act",178779
"FY 2015-16","Natural Sciences and Engineering Research Council","Main Estimates","Contributions to employee benefit plans",5019795
"FY 2015-16","Northern Pipeline Agency","Main Estimates","Contributions to employee benefit plans",49560
"FY 2015-16","Office of the Auditor General","Main Estimates","Contributions to employee benefit plans",10025921
"FY 2015-16","Office of the Chief Electoral Officer","Main Estimates","Contributions to employee benefit plans",7714744
"FY 2015-16","Office of the Chief Electoral Officer","Main Estimates","Electoral expenditures",358744597
"FY 2015-16","Office of the Chief Electoral Officer","Main Estimates","Salary of the Chief Electoral Officer",295500
"FY 2015-16","Office of the Commissioner for Federal Judicial Affairs","Main Estimates","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",514430443
"FY 2015-16","Office of the Commissioner for Federal Judicial Affairs","Main Estimates","Contributions to employee benefit plans",964338
"FY 2015-16","Office of the Commissioner of Lobbying","Main Estimates","Contributions to employee benefit plans",426126
"FY 2015-16","Office of the Commissioner of Official Languages","Main Estimates","Contributions to employee benefit plans",2277425
"FY 2015-16","Office of the Conflict of Interest and Ethics Commissioner","Main Estimates","Contributions to employee benefit plans",773946
"FY 2015-16","Office of the Correctional Investigator of Canada","Main Estimates","Contributions to employee benefit plans",549160
"FY 2015-16","Office of the Director of Public Prosecutions","Main Estimates","Contributions to employee benefit plans",18878245
"FY 2015-16","Office of the Director of Public Prosecutions","Main Estimates","Electoral expenditures",2541596
"FY 2015-16","Office of the Governor General's Secretary","Main Estimates","Annuities payable under the Governor General's Act",631700
"FY 2015-16","Office of the Governor General's Secretary","Main Estimates","Contributions to employee benefit plans",2051125
"FY 2015-16","Office of the Governor General's Secretary","Main Estimates","Salary of the Governor General",283166
"FY 2015-16","Office of the Intelligence Commissioner","Main Estimates","Contributions to employee benefit plans",180996
"FY 2015-16","Office of the Public Sector Integrity Commissioner","Main Estimates","Contributions to employee benefit plans",513560
"FY 2015-16","Office of the Senate Ethics Officer","Main Estimates","Contributions to employee benefit plans",109200
"FY 2015-16","Office of the Superintendent of Financial Institutions","Main Estimates","Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act",146989054
"FY 2015-16","Offices of the Information and Privacy Commissioners of Canada","Main Estimates","Contributions to employee benefit plans",3750848
"FY 2015-16","Parks Canada Agency","Main Estimates","Contributions to employee benefit plans",47637236
"FY 2015-16","Parks Canada Agency","Main Estimates","Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act",118000000
"FY 2015-16","Parole Board of Canada","Main Estimates","Contributions to employee benefit plans",5893912
"FY 2015-16","Patented Medicine Prices Review Board","Main Estimates","Contributions to employee benefit plans",997586
"FY 2015-16","Privy Council Office","Main Estimates","Contributions to employee benefit plans",14123363
"FY 2015-16","Privy Council Office","Main Estimates","Salary and Motor Car Allowance",255700
"FY 2015-16","Public Health Agency of Canada","Main Estimates","Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",13937794
"FY 2015-16","Public Health Agency of Canada","Main Estimates","Contributions to employee benefit plans",29780316
"FY 2015-16","Public Service Commission","Main Estimates","Contributions to employee benefit plans",12203512
"FY 2015-16","Registrar of the Supreme Court of Canada","Main Estimates","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",7087990
"FY 2015-16","Registrar of the Supreme Court of Canada","Main Estimates","Contributions to employee benefit plans",2371107
"FY 2015-16","Royal Canadian Mounted Police","Main Estimates","Pensions under the Royal Canadian Mounted Police Pension Continuation Act",13000000
"FY 2015-16","Royal Canadian Mounted Police","Main Estimates","Pensions and other employee benefits - Members of the Force",376754340
"FY 2015-16","Royal Canadian Mounted Police","Main Estimates","Contributions to employee benefit plans",71762731
"FY 2015-16","Royal Canadian Mounted Police External Review Committee","Main Estimates","Contributions to employee benefit plans",104734
"FY 2015-16","Senate","Main Estimates","Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",24149218
"FY 2015-16","Senate","Main Estimates","Contributions to employee benefit plans",7567381
"FY 2015-16","Shared Services Canada","Main Estimates","Contributions to employee benefit plans",70991519
"FY 2015-16","Social Sciences and Humanities Research Council","Main Estimates","Spending of Revenues pursuant to subsection 4.2 of the Social Sciences and Humanities Research Council Act",224976
"FY 2015-16","Social Sciences and Humanities Research Council","Main Estimates","Contributions to employee benefit plans",2609046
"FY 2015-16","Statistics Canada","Main Estimates","Contributions to employee benefit plans",69078477
"FY 2015-16","The National Battlefields Commission","Main Estimates","Contributions to employee benefit plans",367342
"FY 2015-16","The National Battlefields Commission","Main Estimates","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",1850000
"FY 2015-16","Treasury Board Secretariat","Main Estimates","Salary and Motor Car Allowance",82100
"FY 2015-16","Treasury Board Secretariat","Main Estimates","Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act",443000000
"FY 2015-16","Treasury Board Secretariat","Main Estimates","Contributions to employee benefit plans",27599825
"FY 2015-16","Veterans Review and Appeal Board","Main Estimates","Contributions to employee benefit plans",1435807
"FY 2015-16","Canadian Food Inspection Agency","Supplementary Estimates A","Contributions to employee benefit plans",866933
"FY 2015-16","Department for Women and Gender Equality","Supplementary Estimates A","Contributions to employee benefit plans",53283
"FY 2015-16","Department of Crown-Indigenous Relations and Northern Affairs","Supplementary Estimates A","Contributions to employee benefit plans",115037
"FY 2015-16","Department of Fisheries and Oceans","Supplementary Estimates A","Contributions to employee benefit plans",1501938
"FY 2015-16","Department of Industry","Supplementary Estimates A","Contributions to employee benefit plans",51006
"FY 2015-16","Department of Justice","Supplementary Estimates A","Contributions to employee benefit plans",28579
"FY 2015-16","Department of Natural Resources","Supplementary Estimates A","Contributions to employee benefit plans",312352
"FY 2015-16","Department of Public Safety and Emergency Preparedness","Supplementary Estimates A","Contributions to employee benefit plans",262929
"FY 2015-16","Department of Veterans Affairs","Supplementary Estimates A","Contributions to employee benefit plans",314078
"FY 2015-16","Department of the Environment","Supplementary Estimates A","Contributions to employee benefit plans",722764
"FY 2015-16","House of Commons","Supplementary Estimates A","Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account",1225700
"FY 2015-16","House of Commons","Supplementary Estimates A","Contributions to employee benefit plans",1527917
"FY 2015-16","Impact Assessment Agency of Canada","Supplementary Estimates A","Contributions to employee benefit plans",343000
"FY 2015-16","National Research Council of Canada","Supplementary Estimates A","Contributions to employee benefit plans",7221168
"FY 2015-16","Office of the Governor General's Secretary","Supplementary Estimates A","Contributions to employee benefit plans",69292
"FY 2015-16","Parks Canada Agency","Supplementary Estimates A","Contributions to employee benefit plans",4680663
"FY 2015-16","Parole Board of Canada","Supplementary Estimates A","Contributions to employee benefit plans",82475
"FY 2015-16","Royal Canadian Mounted Police","Supplementary Estimates A","Contributions to employee benefit plans",42220
"FY 2015-16","Royal Canadian Mounted Police","Supplementary Estimates A","Pensions and other employee benefits - Members of the Force",292380
"FY 2015-16","Treasury Board Secretariat","Supplementary Estimates A","Contributions to employee benefit plans",52956
"FY 2015-16","Department of Citizenship and Immigration","Supplementary Estimates B","Contributions to employee benefit plans",2332849
"FY 2015-16","House of Commons","Supplementary Estimates B","Contributions to employee benefit plans",74890
"FY 2015-16","Parliamentary Protective Service","Supplementary Estimates B","Contributions to employee benefit plans",298200
"FY 2015-16","Canada Border Services Agency","Supplementary Estimates C","Contributions to employee benefit plans",6540556
"FY 2015-16","Canada Revenue Agency","Supplementary Estimates C","Contributions to employee benefit plans",8889970
"FY 2015-16","Canadian Energy Regulator","Supplementary Estimates C","Contributions to employee benefit plans",1203008
"FY 2015-16","Communications Security Establishment","Supplementary Estimates C","Contributions to employee benefit plans",648400
"FY 2015-16","Department of Canadian Heritage","Supplementary Estimates C","Contributions to employee benefit plans",387795
"FY 2015-16","Department of Canadian Heritage","Supplementary Estimates C","Salary and Motor Car Allowance",2000
"FY 2015-16","Department of Citizenship and Immigration","Supplementary Estimates C","Fees returned in connection with a terminated application",-25000000
"FY 2015-16","Department of Citizenship and Immigration","Supplementary Estimates C","Contributions to employee benefit plans",1986858
"FY 2015-16","Department of Crown-Indigenous Relations and Northern Affairs","Supplementary Estimates C","Contributions to employee benefit plans",2497071
"FY 2015-16","Department of Employment and Social Development","Supplementary Estimates C","Payments related to the direct financing arrangement under the Apprentice Loans Act",951114
"FY 2015-16","Department of Employment and Social Development","Supplementary Estimates C","Allowance payments (Old Age Security Act)",-21860911
"FY 2015-16","Department of Employment and Social Development","Supplementary Estimates C","Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children",7000000
"FY 2015-16","Department of Employment and Social Development","Supplementary Estimates C","Guaranteed Income Supplement Payments (Old Age Security Act)",-345176781
"FY 2015-16","Department of Employment and Social Development","Supplementary Estimates C","Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families",-12000000
"FY 2015-16","Department of Employment and Social Development","Supplementary Estimates C","Universal Child Care Benefit (Universal Child Care Benefit Act)",4787068521
"FY 2015-16","Department of Employment and Social Development","Supplementary Estimates C","Old Age Security payments (Old Age Security Act)",309554470
"FY 2015-16","Department of Employment and Social Development","Supplementary Estimates C","Contributions to employee benefit plans",6309710
"FY 2015-16","Department of Employment and Social Development","Supplementary Estimates C","Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act",-28268604
"FY 2015-16","Department of Finance","Supplementary Estimates C","Other Interest Costs",-21000000
"FY 2015-16","Department of Finance","Supplementary Estimates C","Interest on Unmatured Debt",-2551000000
"FY 2015-16","Department of Finance","Supplementary Estimates C","Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)",8838000
"FY 2015-16","Department of Finance","Supplementary Estimates C","Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act)",52100000
"FY 2015-16","Department of Finance","Supplementary Estimates C","Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",-15191
"FY 2015-16","Department of Finance","Supplementary Estimates C","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",10889000
"FY 2015-16","Department of Finance","Supplementary Estimates C","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",48589000
"FY 2015-16","Department of Finance","Supplementary Estimates C","Contributions to employee benefit plans",131578
"FY 2015-16","Department of Fisheries and Oceans","Supplementary Estimates C","Contributions to employee benefit plans",1762180
"FY 2015-16","Department of Foreign Affairs, Trade and Development","Supplementary Estimates C","Contributions to employee benefit plans",5273049
"FY 2015-16","Department of Foreign Affairs, Trade and Development","Supplementary Estimates C","Payments to International Financial Institutions - Direct payments",47500000
"FY 2015-16","Department of Health","Supplementary Estimates C","Contributions to employee benefit plans",1960451
"FY 2015-16","Department of Justice","Supplementary Estimates C","Contributions to employee benefit plans",759697
"FY 2015-16","Department of National Defence","Supplementary Estimates C","Contributions to employee benefit plans (Members of the Military)",3356758
"FY 2015-16","Department of Natural Resources","Supplementary Estimates C","Contributions to employee benefit plans",530255
"FY 2015-16","Department of Transport","Supplementary Estimates C","Contributions to employee benefit plans",392822
"FY 2015-16","Department of Transport","Supplementary Estimates C","Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act",1600000
"FY 2015-16","Department of Veterans Affairs","Supplementary Estimates C","Contributions to employee benefit plans",3820339
"FY 2015-16","Financial Transactions and Reports Analysis Centre of Canada","Supplementary Estimates C","Contributions to employee benefit plans",22004
"FY 2015-16","Immigration and Refugee Board","Supplementary Estimates C","Contributions to employee benefit plans",217200
"FY 2015-16","National Research Council of Canada","Supplementary Estimates C","Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act",-19600000
"FY 2015-16","National Security and Intelligence Review Agency Secretariat","Supplementary Estimates C","Contributions to employee benefit plans",19613
"FY 2015-16","Office of the Director of Public Prosecutions","Supplementary Estimates C","Contributions to employee benefit plans",645265
"FY 2015-16","Parks Canada Agency","Supplementary Estimates C","Contributions to employee benefit plans",154179
"FY 2015-16","Parliamentary Protective Service","Supplementary Estimates C","Contributions to employee benefit plans",275532
"FY 2015-16","Parole Board of Canada","Supplementary Estimates C","Contributions to employee benefit plans",49000
"FY 2015-16","Privy Council Office","Supplementary Estimates C","Contributions to employee benefit plans",452278
"FY 2015-16","Privy Council Office","Supplementary Estimates C","Salary and Motor Car Allowance",82100
"FY 2015-16","Public Health Agency of Canada","Supplementary Estimates C","Contributions to employee benefit plans",354132
"FY 2015-16","Royal Canadian Mounted Police","Supplementary Estimates C","Contributions to employee benefit plans",2457694
"FY 2015-16","Royal Canadian Mounted Police","Supplementary Estimates C","Pensions and other employee benefits - Members of the Force",6493777
"FY 2015-16","Shared Services Canada","Supplementary Estimates C","Contributions to employee benefit plans",363228
"FY 2015-16","Treasury Board Secretariat","Supplementary Estimates C","Contributions to employee benefit plans",5622
"FY 2016-17","Administrative Tribunals Support Service of Canada","Main Estimates","Contributions to employee benefit plans",9145173
"FY 2016-17","Atlantic Canada Opportunities Agency","Main Estimates","Contributions to employee benefit plans",8814591
"FY 2016-17","Canada Border Services Agency","Main Estimates","Contributions to employee benefit plans",184711348
"FY 2016-17","Canada Revenue Agency","Main Estimates","Children's special allowance payments",289000000
"FY 2016-17","Canada Revenue Agency","Main Estimates","Contributions to employee benefit plans",432845663
"FY 2016-17","Canada Revenue Agency","Main Estimates","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act",166604106
"FY 2016-17","Canada Revenue Agency","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Canada Revenue Agency","Main Estimates","Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",128000000
"FY 2016-17","Canada School of Public Service","Main Estimates","Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act",6054822
"FY 2016-17","Canada School of Public Service","Main Estimates","Contributions to employee benefit plans",7972617
"FY 2016-17","Canadian Centre for Occupational Health and Safety","Main Estimates","Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act",4300000
"FY 2016-17","Canadian Centre for Occupational Health and Safety","Main Estimates","Contributions to employee benefit plans",682772
"FY 2016-17","Canadian Energy Regulator","Main Estimates","Contributions to employee benefit plans",8844366
"FY 2016-17","Canadian Food Inspection Agency","Main Estimates","Contributions to employee benefit plans",77961227
"FY 2016-17","Canadian Food Inspection Agency","Main Estimates","Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",3500000
"FY 2016-17","Canadian Food Inspection Agency","Main Estimates","Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act",53161000
"FY 2016-17","Canadian Grain Commission","Main Estimates","Contributions to employee benefit plans",605562
"FY 2016-17","Canadian High Arctic Research Station","Main Estimates","Contributions to employee benefit plans",622077
"FY 2016-17","Canadian Human Rights Commission","Main Estimates","Contributions to employee benefit plans",2841837
"FY 2016-17","Canadian Institutes of Health Research","Main Estimates","Contributions to employee benefit plans",5972196
"FY 2016-17","Canadian Intergovernmental Conference Secretariat","Main Estimates","Contributions to employee benefit plans",427837
"FY 2016-17","Canadian Northern Economic Development Agency","Main Estimates","Contributions to employee benefit plans",935246
"FY 2016-17","Canadian Nuclear Safety Commission","Main Estimates","Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act",92870309
"FY 2016-17","Canadian Nuclear Safety Commission","Main Estimates","Contributions to employee benefit plans",4608973
"FY 2016-17","Canadian Radio-television and Telecommunications Commission","Main Estimates","Contributions to employee benefit plans",7051100
"FY 2016-17","Canadian Security Intelligence Service","Main Estimates","Contributions to employee benefit plans",53585459
"FY 2016-17","Canadian Space Agency","Main Estimates","Contributions to employee benefit plans",10036658
"FY 2016-17","Canadian Transportation Accident Investigation and Safety Board","Main Estimates","Contributions to employee benefit plans",3521391
"FY 2016-17","Canadian Transportation Agency","Main Estimates","Contributions to employee benefit plans",3501757
"FY 2016-17","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Main Estimates","Contributions to employee benefit plans",1002508
"FY 2016-17","Communications Security Establishment","Main Estimates","Contributions to employee benefit plans",37515359
"FY 2016-17","Copyright Board","Main Estimates","Contributions to employee benefit plans",298083
"FY 2016-17","Correctional Service of Canada","Main Estimates","Contributions to employee benefit plans",251324350
"FY 2016-17","Courts Administration Service","Main Estimates","Contributions to employee benefit plans",7152127
"FY 2016-17","Department for Women and Gender Equality","Main Estimates","Contributions to employee benefit plans",1304709
"FY 2016-17","Department of Agriculture and Agri-Food","Main Estimates","Grant and Contribution Payments for the AgriInvest Program",143700000
"FY 2016-17","Department of Agriculture and Agri-Food","Main Estimates","Loan guarantees under the Canadian Agricultural Loans Act",13111013
"FY 2016-17","Department of Agriculture and Agri-Food","Main Estimates","Contribution payments for the AgriInsurance program",640800000
"FY 2016-17","Department of Agriculture and Agri-Food","Main Estimates","Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",65900000
"FY 2016-17","Department of Agriculture and Agri-Food","Main Estimates","Contributions to employee benefit plans",68395750
"FY 2016-17","Department of Agriculture and Agri-Food","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Agriculture and Agri-Food","Main Estimates","Grants to agencies established under the Farm Products Agencies Act",100000
"FY 2016-17","Department of Agriculture and Agri-Food","Main Estimates","Contribution payments for the Agricultural Disaster Relief program and AgriRecovery",118513335
"FY 2016-17","Department of Agriculture and Agri-Food","Main Estimates","Grant and Contribution Payments for the AgriStability Program",260300000
"FY 2016-17","Department of Canadian Heritage","Main Estimates","Contributions to employee benefit plans",23496951
"FY 2016-17","Department of Canadian Heritage","Main Estimates","Salaries of the Lieutenant Governors",1196000
"FY 2016-17","Department of Canadian Heritage","Main Estimates","Supplementary retirement benefits - Former Lieutenant Governors",182000
"FY 2016-17","Department of Canadian Heritage","Main Estimates","Payments under the Lieutenant Governors Superannuation Act",637000
"FY 2016-17","Department of Canadian Heritage","Main Estimates","Salary and Motor Car Allowance",87500
"FY 2016-17","Department of Citizenship and Immigration","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Citizenship and Immigration","Main Estimates","Contributions to employee benefit plans",64775493
"FY 2016-17","Department of Citizenship and Immigration","Main Estimates","Passport Canada Revolving Fund (Revolving Funds Act)",-184207868
"FY 2016-17","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Contributions to employee benefit plans",52727044
"FY 2016-17","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Payments to comprehensive claim beneficiaries in compensation for resource royalties",2543528
"FY 2016-17","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Contributions in connection with First Nations infrastructure",28067096
"FY 2016-17","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Indian Annuities Treaty payments",1400000
"FY 2016-17","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts",66317287
"FY 2016-17","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development",2000000
"FY 2016-17","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Grassy Narrows and Islington Bands Mercury Disability Board",15000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Contributions to employee benefit plans",241708033
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Universal Child Care Benefit (Universal Child Care Benefit Act)",7697267462
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities",322900000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",49250000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Payments related to the direct financing arrangement under the Apprentice Loans Act",4272751
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities",142200000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act",763845037
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Supplementary retirement benefits — Annuities agents' pensions",35000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Salary and Motor Car Allowance",167000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children",824000000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families",133000000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act)",44000000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Civil Service Insurance actuarial liability adjustments",145000
"FY 2016-17","Department of Employment and Social Development","Main Estimates","The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act",6892073
"FY 2016-17","Department of Employment and Social Development","Main Estimates","The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act",-4080004
"FY 2016-17","Department of Employment and Social Development","Main Estimates","The provision of funds for interest payments to lending institutions under the Canada Student Loans Act",759
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act",705088437
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Guaranteed Income Supplement Payments (Old Age Security Act)",10804379368
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Allowance payments (Old Age Security Act)",515877981
"FY 2016-17","Department of Employment and Social Development","Main Estimates","Old Age Security payments (Old Age Security Act)",37086489507
"FY 2016-17","Department of Finance","Main Estimates","Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",36067673000
"FY 2016-17","Department of Finance","Main Estimates","Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)",17880415000
"FY 2016-17","Department of Finance","Main Estimates","Contributions to employee benefit plans",12221830
"FY 2016-17","Department of Finance","Main Estimates","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-890667000
"FY 2016-17","Department of Finance","Main Estimates","Payments to International Development Association",441620000
"FY 2016-17","Department of Finance","Main Estimates","Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",42362809
"FY 2016-17","Department of Finance","Main Estimates","Purchase of Domestic Coinage",96000000
"FY 2016-17","Department of Finance","Main Estimates","Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",13347956000
"FY 2016-17","Department of Finance","Main Estimates","Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act)",3536327825
"FY 2016-17","Department of Finance","Main Estimates","Salary and Motor Car Allowance",83500
